ID,Name,Concepticon_ID,Concepticon_Gloss,Huang_1992_1820_ID,Number,Lexibank_Gloss
119_theliver,the liver,1224,LIVER,145,,the liver
305_thedayopposedtonight,the day (opposed to night),1225,DAY (NOT NIGHT),,,the day (opposed to night)
245_theyear,the year,1226,YEAR,777,,the year
44_theearthsoil,the earth (soil),1228,EARTH (SOIL),40,,the earth (soil)
36_dirty,dirty,1230,DIRTY,1086,,dirty
142_new,new,1231,NEW,1050,,new
426_warmhot,warm (hot),1232,WARM,,,warm (hot)
339_thenight,the night,1233,NIGHT,,,the night
191_smooth,smooth,1234,SMOOTH,1037,,smooth
236_who,who,1235,WHO,953,,who
232_what,what,1236,WHAT,954,,what
234_where,where,1237,WHERE,955,,where
267_how,how,1239,HOW,,,how
259_few,few,1242,FEW,,,few
210_thick,thick,1244,THICK,980,,thick
188_small,small,1246,SMALL,965,,small
42_theear,the ear,1247,EAR,81,,the ear
49_theeye,the eye,1248,EYE,79,,the eye
9_thebelly,the belly,1251,BELLY,96,,the belly
97_thehouse,the house,1252,HOUSE,494,,the house
84_thehead,the head,1256,HEAD,74,,the head
239_thewing,the wing,1257,WING,298,,the wing
183_tosing,to sing,1261,SING,1184,,to sing
90_hightall,high / tall,1265,HIGH,968,,high / tall
138_narrow,narrow,1267,NARROW,977,,narrow
168_thesalt,the salt,1274,SALT,61,,the salt
81_thehand,the hand,1277,HAND,107,,the hand
227_tovomit,to vomit,1278,VOMIT,1535,,to vomit
379_tofall,to fall,1280,FALL,,,to fall
312_thefatgrease,the fat (grease),1282,FAT (FROM ANIMALS),,,the fat (grease)
220_today,today,1283,TODAY,738,,today
96_hot,hot,1286,HOT,1062,,hot
26_coldoftemperature,cold (of temperature),1287,COLD,1063,,cold (of temperature)
296_theback,the back,1291,BACK,,,the back
5_bad,bad,1292,BAD,1053,,bad
202_thestick,the stick,1295,STICK,586,,the stick
64_thefoot,the foot,1301,FOOT,103,,the foot
68_thefox,the fox,1312,FOX,325,,the fox
128_themoon,the moon,1313,MOON,4,,the moon
221_tomorrow,tomorrow,1329,TOMORROW,742,,tomorrow
177_thesheep,the sheep,1331,SHEEP,275,,the sheep
140_theneck,the neck,1333,NECK,89,,the neck
235_white,white,1335,WHITE,1006,,white
46_toeat,to eat,1336,EAT,1198,,to eat
151_thepig,the pig,1337,PIG,284,,the pig
129_morning,morning,1339,MORNING,749,,morning // the morning
205_thesun,the sun,1343,SUN,2,,the sun
328_theknife,the knife,1352,KNIFE,,,the knife // knife
111_tolaugh,to laugh,1355,LAUGH,1735,,to laugh
106_theknee,the knee,1371,KNEE,101,,the knee
223_thetoothfront,the tooth (front),1380,TOOTH,137,,the tooth (front)
141_theneedleforsewing,the needle (for sewing),1382,NEEDLE (FOR SEWING),578,,the needle (for sewing)
121_thelouse,the louse,1392,LOUSE,356,,the louse
94_thehornkeratinizedskin,the horn (keratinized skin),1393,HORN (ANATOMY),263,,the horn (keratinized skin)
18_thebone,the bone,1394,BONE,133,,the bone
166_round,round,1395,ROUND,990,,round
176_sharp,sharp,1396,SHARP,1020,,sharp
40_dry,dry,1398,DRY,1028,,dry
39_todrink,to drink,1401,DRINK,1370,,to drink
20_thebreastfemale,the breast (female),1402,BREAST,94,,the breast (female)
13_tobite,to bite,1403,BITE,1753,,to bite
204_straight,straight,1404,STRAIGHT,1003,,straight
137_thename,the name,1405,NAME,687,,the name
50_far,far,1406,FAR,974,,far
370_tobreathe,to breathe,1407,BREATHE,,,to breathe
85_tohear,to hear,1408,HEAR,1682,,to hear
173_tosee,to see,1409,SEE,1471,,to see
153_toplay,to play,1413,PLAY,1703,,to play
414_tosqueeze,to squeeze,1414,SQUEEZE,,,to squeeze
213_tothinkreflect,to think (reflect),1415,THINK (REFLECT),1726,,to think (reflect)
409_tosit,to sit,1416,SIT,,,to sit
104_tokill,to kill,1417,KILL,1602,,to kill
35_todig,to dig,1418,DIG,1698,,to dig
380_tofearbeafraid,to fear (be afraid),1419,FEAR (BE AFRAID),,,to fear (be afraid)
29_tocount,to count,1420,COUNT,1640,,to count
8_tobealive,to be alive,1422,BE ALIVE,1087,,to be alive
53_tofight,to fight,1423,FIGHT,1234,,to fight
246_yellow,yellow,1424,YELLOW,1008,,yellow
78_green,green,1425,GREEN,1009,,green
21_toburnintransitive,to burn [intransitive],1428,BURNING,1269,,to burn [intransitive]
73_full,full,1429,FULL,984,,full
200_thestar,the star,1430,STAR,5,,the star
384_tofreezeintransitive,to freeze (intransitive),1431,FREEZE,,,to freeze (intransitive)
378_tocut,to cut,1432,CUT,,,to cut
388_tohit,to hit,1433,HIT,,,to hit
415_tostab,to stab,1434,STAB,,,to stab
99_tohunt,to hunt,1435,HUNT,1230,,to hunt
171_toscratch,to scratch,1436,SCRATCH,1530,,to scratch
413_tosplit,to split,1437,SPLIT,,,to split
419_toswim,to swim,1439,SWIM,,,to swim
198_tospit,to spit,1440,SPIT,1688,,to spit
62_toflymovethroughair,to fly (move through air),1441,FLY (MOVE THROUGH AIR),1318,,to fly (move through air)
199_tostand,to stand,1442,STAND,1784,,to stand
228_towalk,to walk,1443,WALK,1815,,to walk
421_toturnaround,to turn (around),1444,TURN AROUND,,,to turn (around)
27_tocome,to come,1446,COME,1491,,to come
74_togive,to give,1447,GIVE,1345,,to give
91_tohold,to hold,1448,HOLD,1709,,to hold
401_torub,to rub,1449,RUB,,,to rub
155_topush,to push,1452,PUSH,1689,,to push
423_towash,to wash,1453,WASH,,,to wash
240_towipe,to wipe,1454,WIPE,1163,,to wipe
154_topull,to pull,1455,PULL,1568,,to pull
217_tothrow,to throw,1456,THROW,1687,,to throw
406_tosew,to sew,1457,SEW,,,to sew
403_tosay,to say,1458,SAY,,,to say
172_thesea,the sea,1474,SEA,32,,the sea
180_theshoulder,the shoulder,1482,SHOULDER,90,,the shoulder
143_nine,nine,1483,NINE,805,,nine
10_belowunder,"below, under",1485,BELOW OR UNDER,732,,"below, under"
152_toplantvegetalsrice,"to plant (vegetals, rice)",1486,PLANT (SOMETHING),1774,,"to plant (vegetals, rice)"
25_thecloud,the cloud,1489,CLOUD,7,,the cloud
148_one,one,1493,ONE,797,,one
34_todie,to die,1494,DIE,1651,,to die
226_two,two,1498,TWO,798,,two
67_four,four,1500,FOUR,800,,four
75_thegoat,the goat,1502,GOAT,276,,the goat
72_thefruit,the fruit,1507,FRUIT,378,,the fruit
130_themosquito,the mosquito,1509,MOSQUITO,360,,the mosquito
207_ten,ten,1515,TEN,806,,ten
167_torun,to run,1519,RUN,1544,,to run
383_toforget,to forget,1523,FORGET,,,to forget
19_thebranch,the branch,1531,BRANCH,374,,the branch
418_toswell,to swell,1573,SWELL,,,to swell
59_tofloat,to float,1574,FLOAT,1553,,to float
187_tosleep,to sleep,1585,SLEEP,1646,,to sleep
189_tosmellperceiveodortransitive,to smell (perceive odor) [transitive],1586,SMELL (PERCEIVE),1707,,to smell (perceive odor) [transitive]
103_inside,inside,1606,INSIDE,715,,inside
195_theson,the son,1620,SON,220,,the son
98_hundred,hundred,1634,HUNDRED,824,,hundred
179_short,short,1645,SHORT,973,,short
320_thegirl,the girl,1646,GIRL,,,the girl
331_thelightning,the lightning,1654,LIGHTNING,,,the lightning
184_six,six,1703,SIX,802,,six
175_seven,seven,1704,SEVEN,803,,seven
48_eight,eight,1705,EIGHT,804,,eight
225_twenty,twenty,1710,TWENTY,816,,twenty
28_correctright,correct (right),1725,CORRECT (RIGHT),1045,,correct (right)
231_wet,wet,1726,WET,1029,,wet
281_rottenoffruits,rotten (of fruits),1728,ROTTEN,,,rotten (of fruits)
186_thesky,the sky,1732,SKY,1,,the sky
157_therainbow,the rainbow,1733,RAINBOW,11,,the rainbow
1_above,above,1741,ABOVE,731,,above
374_tochoose,to choose,1750,CHOOSE,,,to choose
289_stoneoffruit,stone (of fruit),1762,STONE (OF FRUIT),,,stone (of fruit)
243_thewoodmaterial,the wood (material),1803,WOOD,511,,the wood (material)
30_tocryweep,to cry (weep),1839,CRY,1485,,to cry (weep)
286_sick,sick,1847,SICK,,,sick
196_thesparrow,the sparrow,1854,SPARROW,336,,the sparrow
194_soft,soft,1856,SOFT,1035,,soft
22_tobuy,to buy,1869,BUY,1516,,to buy
252_before,before,1882,BEFORE,,,before
82_hard,hard,1884,HARD,1034,,hard
4_thearmpit,the armpit,1886,ARMPIT,92,,the armpit
420_totietogether,to tie (together),1917,TIE,,,to tie (together)
6_thebamboo,the bamboo,1927,BAMBOO,389,,the bamboo
209_there,there,1937,THERE,950,,there
139_near,near,1942,NEAR,975,,near
33_thedew,the dew,1977,DEW,15,,the dew
326_theintestines,the intestines,1991,INTESTINES,,,the intestines
60_toflow,to flow,2003,FLOW,1502,,to flow
37_thedog,the dog,2009,DOG,289,,the dog
160_thericeplant,the rice plant,2026,RICE PLANT,439,,the rice plant
71_thefrost,the frost,2034,FROST,14,,the frost
303_thechild,the child,2099,CHILD,,,the child
123_themanmalehuman,the man (male human),2106,MALE PERSON,173,,the man (male human) // male
147_oldofperson,old (of person),2112,OLD (AGED),1058,,old (of person)
136_thenailfingernailorclaw,the nail (fingernail or claw),2128,CLAW OR NAIL,113,,the nail (fingernail or claw)
133_themouseorrat,the mouse or rat,2139,MUROID (MOUSE OR RAT),320,,the mouse or rat
125_tomarryamanmarriesawoman,to marry (a man marries a woman),2164,MARRY (AS MAN),1578,,to marry (a man marries a woman)
70_thefrontfrontside,the front (front side),2194,FRONT (PART),712,,the front (front side)
365_thinobject,thin (object),2249,THIN (OF SHAPE OF OBJECT),,,thin (object)
45_theearthworm,the earthworm,2350,EARTHWORM,363,,the earthworm
38_thedream,the dream,2374,DREAM,699,,the dream
93_horizontal,horizontal,2376,HORIZONTAL,1001,,horizontal
430_wide,wide,2531,BROAD,,,wide
391_toknow,to know,3626,KNOW,,,to know
